customer_id,city,city_tier,signup_date,acquisition_channel
CUST120580,Kolkata,1,2024-01-03,Google Ads
CUST108431,Ahmedabad,1,2024-01-06,Google Ads
CUST111655,Surat,2,2024-01-06,Referral
CUST117565,Jabalpur,3,2024-01-07,Influencer
CUST113003,Ludhiana,2,2024-01-08,Google Ads
CUST129279,Coimbatore,2,2024-01-10,Meta Ads
CUST119271,Bangalore,1,2024-01-10,Google Ads
CUST137094,Ranchi,3,2024-01-10,Influencer
CUST105616,Patna,2,2024-01-12,Organic/SEO
CUST111639,Mumbai,1,2024-01-12,Meta Ads
CUST126365,Lucknow,2,2024-01-13,Influencer
CUST116434,Surat,2,2024-01-13,Google Ads
CUST105291,Ludhiana,2,2024-01-15,Influencer
CUST107827,Vijayawada,2,2024-01-15,Organic/SEO
CUST139528,Pune,1,2024-01-15,Meta Ads
CUST116236,Guwahati,3,2024-01-15,Google Ads
CUST105741,Bangalore,1,2024-01-15,Google Ads
CUST129586,Delhi,1,2024-01-15,Meta Ads
CUST111250,Bangalore,1,2024-01-16,Organic/SEO
CUST112124,Kolkata,1,2024-01-16,Referral
CUST132149,Mumbai,1,2024-01-16,Meta Ads
CUST128285,Hyderabad,1,2024-01-17,Referral
CUST140419,Mumbai,1,2024-01-17,Meta Ads
CUST134413,Indore,2,2024-01-17,Google Ads
CUST103288,Bangalore,1,2024-01-17,Google Ads
CUST120519,Ahmedabad,1,2024-01-18,Google Ads
CUST111991,Nagpur,2,2024-01-18,Meta Ads
CUST130854,Pune,1,2024-01-18,Google Ads
CUST108383,Delhi,1,2024-01-19,Influencer
CUST110838,Coimbatore,2,2024-01-19,Organic/SEO
CUST118858,Kolkata,1,2024-01-19,Meta Ads
CUST112604,Jodhpur,3,2024-01-19,Google Ads
CUST106765,Ahmedabad,1,2024-01-20,Google Ads
CUST112628,Ahmedabad,1,2024-01-21,Meta Ads
CUST130834,Chandigarh,2,2024-01-21,Organic/SEO
CUST119774,Mumbai,1,2024-01-23,Meta Ads
CUST114368,Coimbatore,2,2024-01-23,Influencer
CUST130426,Surat,2,2024-01-23,Influencer
CUST118481,Indore,2,2024-01-23,Google Ads
CUST123134,Mumbai,1,2024-01-23,Meta Ads
CUST106654,Pune,1,2024-01-24,Google Ads
CUST114265,Chennai,1,2024-01-24,Influencer
CUST101386,Jodhpur,3,2024-01-26,Google Ads
CUST124892,Chennai,1,2024-01-26,Google Ads
CUST101111,Hyderabad,1,2024-01-26,Organic/SEO
CUST109991,Siliguri,3,2024-01-26,Organic/SEO
CUST113768,Mumbai,1,2024-01-26,Meta Ads
CUST122905,Ahmedabad,1,2024-01-27,Meta Ads
CUST119543,Chennai,1,2024-01-27,Meta Ads
CUST130504,Madurai,3,2024-01-27,Meta Ads
CUST118387,Bangalore,1,2024-01-27,Influencer
CUST101787,Pune,1,2024-01-28,Organic/SEO
CUST111576,Delhi,1,2024-01-28,Meta Ads
CUST140119,Chandigarh,2,2024-01-28,Meta Ads
CUST128274,Vijayawada,2,2024-01-28,Meta Ads
CUST106242,Chennai,1,2024-01-29,Influencer
CUST139874,Chennai,1,2024-01-29,Meta Ads
CUST106904,Nagpur,2,2024-01-30,Referral
CUST104684,Vijayawada,2,2024-01-30,Organic/SEO
CUST135902,Lucknow,2,2024-01-30,Organic/SEO
CUST127617,Bangalore,1,2024-01-31,Meta Ads
CUST115597,Vadodara,2,2024-01-31,Google Ads
