month,city_tier,channel,spend,impressions,clicks,attributed_new_customers
2024-01,1,Meta Ads,16009.01,72826,1120,15
2024-01,1,Google Ads,8947.31,48980,908,8
2024-01,1,Influencer,4670.89,22048,298,5
2024-01,1,Organic/SEO,3383.17,11334,123,3
2024-01,1,Referral,1152.18,6678,95,1
2024-01,2,Meta Ads,5048.18,14627,212,7
2024-01,2,Google Ads,3397.1,16889,329,4
2024-01,2,Influencer,2491.54,8828,120,4
2024-01,2,Organic/SEO,2130.42,14041,237,3
2024-01,2,Referral,1306.83,4057,73,2
2024-01,3,Meta Ads,1442.88,4135,42,2
2024-01,3,Google Ads,530.26,2172,30,1
2024-01,3,Influencer,1146.81,3332,43,2
2024-01,3,Organic/SEO,567.17,3337,34,1
2024-01,3,Referral,809.93,2719,44,1
2024-02,1,Meta Ads,46453.27,234428,2830,43
2024-02,1,Google Ads,32777.45,155934,3024,24
2024-02,1,Influencer,13314.85,54716,560,14
2024-02,1,Organic/SEO,9123.19,47564,577,9
2024-02,1,Referral,4042.73,12259,149,4
2024-02,2,Meta Ads,15953.47,47939,545,22
2024-02,2,Google Ads,8883.16,30869,518,12
2024-02,2,Influencer,10910.08,54201,466,12
2024-02,2,Organic/SEO,5817.77,23579,263,9
2024-02,2,Referral,3776.47,11136,209,6
2024-02,3,Meta Ads,5167.85,18837,326,8
2024-02,3,Google Ads,2479.63,7905,76,4
2024-02,3,Influencer,4158.66,15626,173,7
2024-02,3,Organic/SEO,2774.7,18196,181,4
2024-02,3,Referral,2427.68,12833,189,4
2024-03,1,Meta Ads,74159.29,230481,2082,77
2024-03,1,Google Ads,49374.91,170691,3248,43
2024-03,1,Influencer,22831.48,97271,921,25
2024-03,1,Organic/SEO,15561.93,46049,369,17
2024-03,1,Referral,10815.5,37167,539,8
2024-03,2,Meta Ads,24032.17,118478,1563,36
2024-03,2,Google Ads,15407.72,48809,399,21
2024-03,2,Influencer,14926.4,63993,660,21
2024-03,2,Organic/SEO,10675.84,30618,521,15
2024-03,2,Referral,8210.97,35929,622,10
2024-03,3,Meta Ads,8241.17,28894,559,15
2024-03,3,Google Ads,5049.21,18472,242,7
2024-03,3,Influencer,8664.57,55966,875,13
2024-03,3,Organic/SEO,4168.9,26927,367,7
2024-03,3,Referral,4650.44,14955,264,7
2024-04,1,Meta Ads,98001.7,521966,9013,113
2024-04,1,Google Ads,85512.15,369842,3701,63
2024-04,1,Influencer,45167.16,255006,4358,37
2024-04,1,Organic/SEO,24012.13,127826,1082,25
2024-04,1,Referral,15195.4,87473,1655,12
2024-04,2,Meta Ads,38110.97,127609,2512,57
2024-04,2,Google Ads,26670.31,94963,1428,32
2024-04,2,Influencer,16612.38,56220,699,32
2024-04,2,Organic/SEO,13947.69,56525,714,24
2024-04,2,Referral,9207.77,28825,307,16
2024-04,3,Meta Ads,10106.58,31961,378,17
2024-04,3,Google Ads,5470.91,27249,326,8
2024-04,3,Influencer,7868.86,43449,659,14
2024-04,3,Organic/SEO,4152.84,17077,276,8
2024-04,3,Referral,6169.88,28146,309,8
2024-05,1,Meta Ads,189344.72,752147,6495,137
2024-05,1,Google Ads,101372.75,411292,4909,76
