order_id,customer_id,order_date,city,city_tier,category,order_value,is_cod,is_returned,delivery_days,shipping_cost
ORD200001,CUST120580,2024-01-04,Kolkata,1,Face Care,662.54,False,False,2.5,54.28
ORD200002,CUST120580,2024-08-13,Kolkata,1,Body Care,1023.68,True,False,2.3,57.94
ORD200003,CUST120580,2024-06-15,Kolkata,1,Hair Care,376.84,False,True,1.7,60.76
ORD200004,CUST120580,2024-04-30,Kolkata,1,Body Care,642.02,False,False,2.4,54.64
ORD200005,CUST120580,2024-05-22,Kolkata,1,Sunscreen,465.73,False,False,3.1,68.12
ORD200006,CUST108431,2024-01-10,Ahmedabad,1,Combo/Kit,642.69,True,False,3.3,51.47
ORD200007,CUST108431,2024-02-04,Ahmedabad,1,Sunscreen,745.18,True,False,2.5,72.26
ORD200008,CUST108431,2024-02-11,Ahmedabad,1,Face Care,602.46,True,False,4.1,69.67
ORD200009,CUST108431,2025-03-11,Ahmedabad,1,Hair Care,1147.49,True,True,1.0,49.74
ORD200010,CUST108431,2024-07-20,Ahmedabad,1,Combo/Kit,1510.45,True,False,2.9,57.08
ORD200012,CUST111655,2024-01-10,Surat,2,Face Care,687.54,True,False,2.8,45.37
ORD200013,CUST111655,2024-05-30,Surat,2,Face Care,496.76,True,True,4.1,70.95
ORD200014,CUST111655,2024-02-10,Surat,2,Body Care,467.78,True,False,4.6,71.32
ORD200015,CUST111655,2024-04-07,Surat,2,Combo/Kit,1287.46,False,False,3.5,72.28
ORD200016,CUST117565,2024-01-09,Jabalpur,3,Body Care,520.18,False,False,4.8,80.69
ORD200017,CUST117565,2024-05-05,Jabalpur,3,Hair Care,444.22,True,True,7.8,110.8
ORD200018,CUST117565,2024-11-20,Jabalpur,3,Body Care,368.72,True,False,5.2,84.36
ORD200019,CUST117565,2025-01-19,Jabalpur,3,Hair Care,368.38,True,False,5.8,87.35
ORD200020,CUST117565,2024-02-03,Jabalpur,3,Combo/Kit,760.83,True,True,7.3,97.7
ORD200021,CUST117565,2024-03-02,Jabalpur,3,Face Care,403.51,True,True,6.4,97.69
ORD200022,CUST117565,2024-05-21,Jabalpur,3,Combo/Kit,834.85,True,True,7.4,111.36
ORD200024,CUST113003,2024-01-11,Ludhiana,2,Sunscreen,608.58,True,False,2.6,62.15
ORD200025,CUST113003,2024-01-28,Ludhiana,2,Body Care,459.75,True,False,4.3,69.79
ORD200026,CUST113003,2025-07-04,Ludhiana,2,Combo/Kit,2049.0,True,False,4.1,69.12
ORD200027,CUST113003,2024-06-15,Ludhiana,2,Face Care,438.34,False,False,2.4,57.36
ORD200029,CUST129279,2024-01-11,Coimbatore,2,Face Care,610.77,True,True,3.4,72.34
ORD200030,CUST129279,2024-05-24,Coimbatore,2,Sunscreen,431.44,True,False,6.6,94.75
ORD200031,CUST119271,2024-01-13,Bangalore,1,Combo/Kit,895.82,False,False,2.8,55.35
ORD200032,CUST119271,2024-01-28,Bangalore,1,Face Care,1063.11,True,False,1.0,47.5
ORD200033,CUST119271,2025-08-19,Bangalore,1,Body Care,916.55,False,False,2.9,58.95
ORD200034,CUST119271,2024-08-21,Bangalore,1,Body Care,367.01,True,True,1.1,60.74
ORD200035,CUST119271,2024-09-19,Bangalore,1,Hair Care,559.13,False,True,1.0,44.55
ORD200037,CUST137094,2024-01-13,Ranchi,3,Body Care,490.1,True,False,6.2,91.51
ORD200038,CUST137094,2024-06-02,Ranchi,3,Face Care,497.16,False,False,8.4,115.76
ORD200039,CUST137094,2024-10-03,Ranchi,3,Combo/Kit,690.57,True,True,6.9,83.4
ORD200040,CUST137094,2025-06-03,Ranchi,3,Body Care,1047.85,True,False,5.8,95.12
ORD200041,CUST137094,2024-04-13,Ranchi,3,Hair Care,335.83,False,False,7.9,97.35
ORD200042,CUST137094,2025-06-27,Ranchi,3,Combo/Kit,711.98,True,False,6.6,96.27
ORD200044,CUST105616,2024-01-13,Patna,2,Face Care,555.39,True,True,3.4,77.45
ORD200045,CUST105616,2024-03-24,Patna,2,Body Care,458.31,False,False,3.8,67.16
